seed: 502
CheapNet params # : 1390215
Best model saved at epoch 1 with val rmse: 1.5496171
Epoch: 171, Train RMSE: 0.5931609, Val RMSE: 1.2536532, Pearson R: 0.7683196, Spearman R: 0.7768058
Epoch: 172, Train RMSE: 0.5846895, Val RMSE: 1.2674597, Pearson R: 0.7653545, Spearman R: 0.7759824
Epoch: 173, Train RMSE: 0.5912100, Val RMSE: 1.2605192, Pearson R: 0.7591431, Spearman R: 0.7749293
Epoch: 174, Train RMSE: 0.5914655, Val RMSE: 1.2633874, Pearson R: 0.7620135, Spearman R: 0.7734638
Epoch: 175, Train RMSE: 0.5958756, Val RMSE: 1.2497992, Pearson R: 0.7631687, Spearman R: 0.7746440
Epoch: 176, Train RMSE: 0.5763946, Val RMSE: 1.2689301, Pearson R: 0.7626876, Spearman R: 0.7711192
Epoch: 177, Train RMSE: 0.6017136, Val RMSE: 1.2460682, Pearson R: 0.7657513, Spearman R: 0.7768902
Epoch: 178, Train RMSE: 0.5606186, Val RMSE: 1.2500029, Pearson R: 0.7626970, Spearman R: 0.7796045
Epoch: 179, Train RMSE: 0.5690756, Val RMSE: 1.2706837, Pearson R: 0.7560263, Spearman R: 0.7693123
Epoch: 180, Train RMSE: 0.5673329, Val RMSE: 1.2523585, Pearson R: 0.7631278, Spearman R: 0.7754028
Epoch: 181, Train RMSE: 0.5712393, Val RMSE: 1.2477305, Pearson R: 0.7634935, Spearman R: 0.7736086
Epoch: 182, Train RMSE: 0.5574896, Val RMSE: 1.2575478, Pearson R: 0.7627948, Spearman R: 0.7703912
Epoch: 183, Train RMSE: 0.5761310, Val RMSE: 1.2798054, Pearson R: 0.7614047, Spearman R: 0.7729981
Epoch: 184, Train RMSE: 0.5664034, Val RMSE: 1.2472166, Pearson R: 0.7639694, Spearman R: 0.7753933
Epoch: 185, Train RMSE: 0.5742501, Val RMSE: 1.2480154, Pearson R: 0.7640282, Spearman R: 0.7767828
Epoch: 186, Train RMSE: 0.5385556, Val RMSE: 1.2960536, Pearson R: 0.7554426, Spearman R: 0.7682590
Epoch: 187, Train RMSE: 0.5673584, Val RMSE: 1.2865862, Pearson R: 0.7600719, Spearman R: 0.7709124
Epoch: 188, Train RMSE: 0.5696553, Val RMSE: 1.2444369, Pearson R: 0.7702594, Spearman R: 0.7807743
